deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
real_1101.wav,3.8490236,3.7748864,4.117864,3.6981163,4.112172,NISQAv2
real_2408.wav,3.9090545,3.465125,4.070125,3.709983,4.239117,NISQAv2
fake_1578.wav,3.0146701,3.695702,3.7607841,2.772063,3.5807939,NISQAv2
fake_2071.wav,3.1522977,3.8177552,4.00833,2.72518,3.7056801,NISQAv2
fake_347.wav,2.7634485,2.815797,3.893774,2.7602317,3.5790038,NISQAv2
real_1667.wav,4.0662956,4.144156,4.5763273,4.4281917,4.347443,NISQAv2
fake_2065.wav,3.2331808,3.3346171,4.1432614,3.0976093,3.8449776,NISQAv2
fake_353.wav,2.533214,2.6316059,3.4378345,2.3160381,3.3225796,NISQAv2
real_1673.wav,4.384806,4.264219,4.569664,4.4090934,4.2837453,NISQAv2
fake_435.wav,1.9772204,1.8325063,3.0700293,2.552747,2.9898212,NISQAv2
real_1115.wav,3.3112793,3.353017,3.7166998,3.5237975,3.993681,NISQAv2
real_574.wav,4.662752,4.590737,4.7184424,4.226725,4.556031,NISQAv2
fake_1587.wav,3.4657304,3.94805,4.034341,3.4949071,3.9488628,NISQAv2
real_2391.wav,4.2208533,3.5746753,4.4619036,4.1442723,4.309096,NISQAv2
real_1698.wav,4.236912,3.1455503,4.3618097,3.8584654,4.391917,NISQAv2
real_1840.wav,3.6458163,2.3730748,4.191619,3.9804556,3.9401076,NISQAv2
real_212.wav,4.2558727,4.2355223,4.3720765,4.0394044,4.3604302,NISQAv2
real_1854.wav,3.5913348,2.1961765,4.424835,3.8818321,4.0189776,NISQAv2
real_206.wav,3.4383075,2.453224,4.379089,3.487662,3.8943534,NISQAv2
fake_1593.wav,2.8742008,3.4489043,3.74464,2.9638865,3.3313658,NISQAv2
real_2385.wav,3.9440148,3.073243,4.3252983,3.961779,4.2287126,NISQAv2
real_560.wav,4.1455646,3.1514904,4.510581,4.311624,4.2242045,NISQAv2
real_548.wav,4.158372,3.2374992,4.3887277,4.180322,4.2191844,NISQAv2
fake_384.wav,2.4895577,2.3531747,2.9200053,2.6261961,3.3438346,NISQAv2
fake_390.wav,2.2937536,2.717193,3.4692013,2.7086954,3.2261631,NISQAv2
real_1868.wav,4.37442,3.5057685,4.509546,4.166263,4.379492,NISQAv2
real_2150.wav,3.8820336,3.932509,4.1883264,3.8647735,4.171597,NISQAv2
fake_1746.wav,2.1525996,2.4275672,3.550972,2.2288935,3.101157,NISQAv2
fake_179.wav,2.2455623,1.887177,3.5299237,2.6027877,3.2507117,NISQAv2
real_1459.wav,4.353617,3.972452,4.6102076,4.288969,4.419821,NISQAv2
fake_2529.wav,3.3488586,3.3704422,3.907962,3.2870195,3.8926184,NISQAv2
fake_1020.wav,3.4971063,3.064372,3.9901693,3.1860788,3.9434047,NISQAv2
